source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/4-3-1430,4-3-1430,130000,[],Yerevan/Arabkir/Hambardzumyan Street,60.5,2,3,13,New building,Without renovation,3.0,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1430.1,4-3-1430.1,215000,[],Yerevan/Arabkir/Hambardzumyan Street,96.1,3,4,13,New building,Without renovation,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-432,1-N-432,560000,"['First line', 'Building service', 'Building security', 'Parking', 'Elevator', 'Heating system', 'Open balcony', 'Panorama', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Internet', 'Furniture', 'Kitchen furniture']",Yerevan/Small Center/Sayat-Nova  Avenue,156.4,4,9,17,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-429,1-N-429,410000,"['First line', 'Building service', 'Building security', 'Elevator', 'Heating system', 'Cooling system', 'Air conditioning', 'Open balcony', 'Transport availability']",Yerevan/Small Center/Amiryan Street,75.0,3,3,12,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-118,1-A-118,420000,"['Parking', 'Elevator', 'Heating system', 'Open balcony']",Yerevan/Small Center/Verin Antarain Street,138.0,4,3,5,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2096,1-3-2096,339000,"['Elevator', 'Heating system', 'Air conditioning', 'Washing machine', 'Furniture']",Yerevan/Small Center/Vardanants Street (S.C.),100.0,3,2,6,Special project,Major overhaul,2.9,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-123,1-A-123,500000,"['Building service', 'Building security', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Pool', 'Washing machine', 'Dishwasher', 'Kitchen stove', 'Fridge', 'TV', 'Jacuzzi', 'Furniture', 'Built-in furniture', 'Kitchen furniture', 'Wardrobe', 'Exclusive design']",Yerevan/Small Center/Verin Antarain Street,107.0,3,5,7,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-403,1-N-403,520000,"['Elevator', 'Heating system', 'Cooling system', 'Air conditioning', 'Furniture']",Yerevan/Small Center/Sayat-Nova  Avenue,121.0,3,6,21,New building,Major overhaul,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-1721,1-3-1721,225000,"['Heating system', 'Air conditioning', 'Open balcony', 'Superstructure', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Internet', 'Furniture', 'Kitchen furniture']",Yerevan/Small Center/Byron Street,101.0,3,6,5,Stalinka w/o,Major overhaul,3.1,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-433,1-N-433,985000,"['Garage', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Panorama', 'Washing machine', 'Dishwasher', 'Kitchen stove', 'Fridge']",Yerevan/Small Center/Vardanants Street (S.C.),206.0,4,20,23,New building,Major overhaul,2.8,3,3,,,,,,,,,,,,,,,,,
