source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-ajapnyak-yerevan-d108949,d108949,117000,,,84,3,4,5,czech,,,,,30.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'open balcony', 'built-in wardrobes', 'kitchen tiled', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.469027287032,225,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '2'}",,40.208844098202,laminate,metal,stone,renovated,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-yerevan-d117911,d117911,75000,,,67,2,10,10,,,,,,01.12.2023,,"['electricity', 'metal door', 'built-in wardrobes', 'oriel', 'bathroom tiled', 'plastic windows', 'renovated roof', 'sunny', 'natural gas']",44.512879,0,[],"{'rooms': '2', 'bedrooms': '1', 'kitchens': '1', 'balconies': '2'}",,40.17787,,metal,,renovation needed,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d113164,d113164,725.0,,,50,2,2,5,by Tamanyan,,,,,01.12.2023,,"['air conditioner', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'LED TV', 'air conditioner', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.510601043701,875,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.178552,laminate,metal,stone,renovated,plastic,gas boiler,,air conditioner
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-kanaker-zeytun-yerevan-d117915,d117915,297000,,,122,3,8,15,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'intercom', 'sec. sys.', 'open balcony', 'elevator', 'plastic windows', 'exclusive design', 'sunny', 'natural gas']",44.512879,16,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.17787,,metal,in situ concrete,"renovated, uninhabited",plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d91689,d91689,300000,,,130,3,7,12,,,,,,01.12.2023,,"['air conditioner', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'intercom', 'internet', 'open balcony', 'elevator', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.509669118925,53,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.206320888981,laminate,metal,in situ concrete,renovated,plastic,gas boiler,underground,air conditioner
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d117434,d117434,1300000,,,160,4,6,10,,,,,,30.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'intercom', 'sec. sys.', 'elevator', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.512879,141,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1'}",,40.17787,laminate,metal,in situ concrete,euro renovated,plastic,centralized,underground,
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-kanaker-zeytun-yerevan-d117915,d117915,297000,,,122,3,8,15,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'intercom', 'sec. sys.', 'open balcony', 'elevator', 'plastic windows', 'exclusive design', 'sunny', 'natural gas']",44.512879,16,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.17787,,metal,in situ concrete,"renovated, uninhabited",plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d116788,d116788,205000,,,71,3,2,5,special,,,,,30.11.2023,,"['persistent water', 'electricity', 'laminatе flooring', 'metal door', 'open balcony', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.502351235442,743,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.179513738459,laminate,metal,stone,renovated,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-davtashen-yerevan-d117390,d117390,143000,,,77,3,2,9,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'elevator', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished', 'bathtub']",44.487247283293,357,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'storage rooms': '1'}",,40.221408669649,laminate,metal,wall building,"renovated, uninhabited",plastic,gas boiler,outdoor,
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d97606,d97606,235000,,,43,1,5,15,,,,,,29.11.2023,,"['new wiring', 'persistent water', 'electricity', 'sec. sys.', 'sec. worker', 'plastic windows', 'renovated roof', 'exclusive design', 'natural gas', 'internet']",44.511365082973,190,[],"{'rooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.179825070883,,,in situ concrete,renovated,plastic,centralized,,
